"RGroup","File Name","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"sagebrush","sxwphen.Current.in","0.001687192","0.001687192","-0.085812808","-0.011502463","-0.00438423599999999","-0.039819376","0.087635468","0.029261084","0.016186371","0.001687192","0.001687192","0.001687192"
"a.cool.forb","sxwphen.Current.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"a.warm.forb","sxwphen.Current.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"p.cool.forb","sxwphen.Current.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"p.warm.forb","sxwphen.Current.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"a.cool.grass","sxwphen.Current.in","0.001535938","-0.040411572","-0.046928124","-0.045392186","-0.075484641","0.192409782","0.009662988","0","0","0.001535938","0.001535938","0.001535938"
"p.cool.grass","sxwphen.Current.in","0","-0.04107556","-0.042883586","-0.085767171","-0.049851259","0.121544259","0.067779467","0.024039796","0.006214054","0","0","0"
"p.warm.grass","sxwphen.Current.in","0","0","0","-0.05","-0.076915735","-0.118571039","0.175511317","0.044164167","0.02581129","0","0","0"
"shrub","sxwphen.Current.in","0","-0.02046805","-0.070995518","-0.00898207400000001","-0.001150612","-0.035151988","0.092912533","0.032131527","0.017933724","0.002002241","0.002002241","0.002265975"
"succulents","sxwphen.Current.in","0","0","-0.05","-0.042883586","-0.025851127","0.011926357","0.023477226","0.036157202","0.024016659","0.00711641399999999","0.00711641399999999","0.00892444"
"sagebrush","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0.001687192","0.001687192","-0.085812808","-0.011502463","-0.00438423599999999","-0.039819376","0.087635468","0.029261084","0.016186371","0.001687192","0.001687192","0.001687192"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0.001535938","-0.040411572","-0.046928124","-0.045392186","-0.075484641","0.192409782","0.009662988","0","0","0.001535938","0.001535938","0.001535938"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.04107556","-0.042883586","-0.085767171","-0.049851259","0.121544259","0.067779467","0.024039796","0.006214054","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","0","-0.05","-0.076915735","-0.118571039","0.175511317","0.044164167","0.02581129","0","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.02046805","-0.070995518","-0.00898207400000001","-0.001150612","-0.035151988","0.092912533","0.032131527","0.017933724","0.002002241","0.002002241","0.002265975"
"succulents","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","-0.05","-0.042883586","-0.025851127","0.011926357","0.023477226","0.036157202","0.024016659","0.00711641399999999","0.00711641399999999","0.00892444"
"sagebrush","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0.001687192","0.001687192","-0.085812808","-0.011502463","-0.00438423599999999","-0.039819376","0.087635468","0.029261084","0.016186371","0.001687192","0.001687192","0.001687192"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0.001535938","-0.040411572","-0.046928124","-0.045392186","-0.075484641","0.192409782","0.009662988","0","0","0.001535938","0.001535938","0.001535938"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","-0.04107556","-0.042883586","-0.085767171","-0.049851259","0.121544259","0.067779467","0.024039796","0.006214054","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","0","0","-0.05","-0.076915735","-0.118571039","0.175511317","0.044164167","0.02581129","0","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","-0.02046805","-0.070995518","-0.00898207400000001","-0.001150612","-0.035151988","0.092912533","0.032131527","0.017933724","0.002002241","0.002002241","0.002265975"
"succulents","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","0","-0.05","-0.042883586","-0.025851127","0.011926357","0.023477226","0.036157202","0.024016659","0.00711641399999999","0.00711641399999999","0.00892444"
"sagebrush","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0.001687192","0.001687192","-0.085812808","-0.011502463","-0.00438423599999999","-0.039819376","0.087635468","0.029261084","0.016186371","0.001687192","0.001687192","0.001687192"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0.001535938","-0.040411572","-0.046928124","-0.045392186","-0.075484641","0.192409782","0.009662988","0","0","0.001535938","0.001535938","0.001535938"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","-0.04107556","-0.042883586","-0.085767171","-0.049851259","0.121544259","0.067779467","0.024039796","0.006214054","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","0","0","-0.05","-0.076915735","-0.118571039","0.175511317","0.044164167","0.02581129","0","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","-0.02046805","-0.070995518","-0.00898207400000001","-0.001150612","-0.035151988","0.092912533","0.032131527","0.017933724","0.002002241","0.002002241","0.002265975"
"succulents","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","0","-0.05","-0.042883586","-0.025851127","0.011926357","0.023477226","0.036157202","0.024016659","0.00711641399999999","0.00711641399999999","0.00892444"
"sagebrush","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0.001687192","0.001687192","-0.085812808","-0.011502463","-0.00438423599999999","-0.039819376","0.087635468","0.029261084","0.016186371","0.001687192","0.001687192","0.001687192"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0.001535938","-0.040411572","-0.046928124","-0.045392186","-0.075484641","0.192409782","0.009662988","0","0","0.001535938","0.001535938","0.001535938"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0","-0.04107556","-0.042883586","-0.085767171","-0.049851259","0.121544259","0.067779467","0.024039796","0.006214054","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0","0","0","-0.05","-0.076915735","-0.118571039","0.175511317","0.044164167","0.02581129","0","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0","-0.02046805","-0.070995518","-0.00898207400000001","-0.001150612","-0.035151988","0.092912533","0.032131527","0.017933724","0.002002241","0.002002241","0.002265975"
"succulents","sxwphen.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","0","0","-0.05","-0.042883586","-0.025851127","0.011926357","0.023477226","0.036157202","0.024016659","0.00711641399999999","0.00711641399999999","0.00892444"
"sagebrush","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0.001687192","0.001687192","-0.085812808","-0.011502463","-0.00438423599999999","-0.039819376","0.087635468","0.029261084","0.016186371","0.001687192","0.001687192","0.001687192"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0.001535938","-0.040411572","-0.046928124","-0.045392186","-0.075484641","0.192409782","0.009662988","0","0","0.001535938","0.001535938","0.001535938"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0","-0.04107556","-0.042883586","-0.085767171","-0.049851259","0.121544259","0.067779467","0.024039796","0.006214054","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0","0","0","-0.05","-0.076915735","-0.118571039","0.175511317","0.044164167","0.02581129","0","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0","-0.02046805","-0.070995518","-0.00898207400000001","-0.001150612","-0.035151988","0.092912533","0.032131527","0.017933724","0.002002241","0.002002241","0.002265975"
"succulents","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","0","0","-0.05","-0.042883586","-0.025851127","0.011926357","0.023477226","0.036157202","0.024016659","0.00711641399999999","0.00711641399999999","0.00892444"
"sagebrush","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0.001687192","0.001687192","-0.085812808","-0.011502463","-0.00438423599999999","-0.039819376","0.087635468","0.029261084","0.016186371","0.001687192","0.001687192","0.001687192"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0.001535938","-0.040411572","-0.046928124","-0.045392186","-0.075484641","0.192409782","0.009662988","0","0","0.001535938","0.001535938","0.001535938"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0","-0.04107556","-0.042883586","-0.085767171","-0.049851259","0.121544259","0.067779467","0.024039796","0.006214054","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0","0","0","-0.05","-0.076915735","-0.118571039","0.175511317","0.044164167","0.02581129","0","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0","-0.02046805","-0.070995518","-0.00898207400000001","-0.001150612","-0.035151988","0.092912533","0.032131527","0.017933724","0.002002241","0.002002241","0.002265975"
"succulents","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","0","0","-0.05","-0.042883586","-0.025851127","0.011926357","0.023477226","0.036157202","0.024016659","0.00711641399999999","0.00711641399999999","0.00892444"
"sagebrush","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0.001687192","0.001687192","-0.085812808","-0.011502463","-0.00438423599999999","-0.039819376","0.087635468","0.029261084","0.016186371","0.001687192","0.001687192","0.001687192"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0","-0.041087344","-0.042959002","-0.085918004","-0.092655311","0.165484915","0.067557932","0.029576814","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0","0","0","-0.1","-0.104924397","0.029110475","0.105271761","0.05256777","0.01797439","0","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0.001535938","-0.040411572","-0.046928124","-0.045392186","-0.075484641","0.192409782","0.009662988","0","0","0.001535938","0.001535938","0.001535938"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0","-0.04107556","-0.042883586","-0.085767171","-0.049851259","0.121544259","0.067779467","0.024039796","0.006214054","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0","0","0","-0.05","-0.076915735","-0.118571039","0.175511317","0.044164167","0.02581129","0","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0","-0.02046805","-0.070995518","-0.00898207400000001","-0.001150612","-0.035151988","0.092912533","0.032131527","0.017933724","0.002002241","0.002002241","0.002265975"
"succulents","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","0","0","-0.05","-0.042883586","-0.025851127","0.011926357","0.023477226","0.036157202","0.024016659","0.00711641399999999","0.00711641399999999","0.00892444"
"sagebrush","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","0","0","0","0","0","0","0","0","0","0","0","0"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","0","0","0","0","0","0","0","0","0","0","0","0"
