Site,soil_treatment,depth,matricd,gravel_content,evco,trco_grass,trco_shrub,trco_tree,trco_forb,%sand,%clay,imperm,soiltemp
all,fixed1,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.1,0.3,0,0.186
all,fixed1,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.1,0.3,0,0.372
all,fixed1,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.1,0.3,0,0.744
all,fixed1,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.1,0.3,0,1.116
all,fixed1,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.1,0.3,0,1.488
all,fixed1,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.1,0.3,0,2.232
all,fixed1,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.1,0.3,0,2.975
all,fixed1,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.1,0.3,0,2.975
1,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.5,0.1,0,0.186
1,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.52,0.1,0,0.372
1,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.48,0.1,0,0.744
1,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.2,0.1,0,1.116
1,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.3,0.1,0,1.488
1,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.4,0.1,0,2.232
1,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.2,0.1,0,2.975
1,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.2,0.1,0,2.975
2,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.54,0.2,0,0.186
2,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.41,0.2,0,0.372
2,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.41,0.2,0,0.744
2,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.3,0.2,0,1.116
2,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.3,0.2,0,1.488
2,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.2,0.2,0,2.232
2,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.2,0.2,0,2.975
2,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.2,0.2,0,2.975
"1,2",fixed2,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.54,0.2,0,0.186
"1,2",fixed2,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.41,0.2,0,0.372
"1,2",fixed2,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.41,0.2,0,0.744
"1,2",fixed2,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.3,0.2,0,1.116
"1,2",fixed2,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.3,0.2,0,1.488
"1,2",fixed2,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.2,0.2,0,2.232
"1,2",fixed2,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.2,0.2,0,2.975
"1,2",fixed2,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.2,0.2,0,2.975